acc;dropout;epoch;l1;l2;l3;l4;l5;l6;l7;nb
0.479069766;0;100;0.5;0.5;;;;;;2
0.506976744;0;100;0.5;5;;;;;;2
0.46976744;0;100;5;0.5;;;;;;2
0.506976743;0;100;5;5;;;;;;2
0.479069768;0.5;100;0.5;0.5;;;;;;2
0.48372093;0.5;100;0.5;5;;;;;;2
0.474418605;0.5;100;5;0.5;;;;;;2
0.506976743;0.5;100;5;5;;;;;;2
0.497674417;0;100;0.5;0.5;0.5;0.5;0.5;;;5
0.525581395;0;100;0.5;0.5;0.5;0.5;5;;;5
0.520930231;0;100;0.5;0.5;0.5;5;0.5;;;5
0.544186046;0;100;0.5;0.5;0.5;5;5;;;5
0.493023255;0;100;0.5;0.5;5;0.5;0.5;;;5
0.48372093;0;100;0.5;0.5;5;0.5;5;;;5
0.53488372;0;100;0.5;0.5;5;5;0.5;;;5
0.48372093;0;100;0.5;0.5;5;5;5;;;5
0.497674417;0;100;0.5;5;0.5;0.5;0.5;;;5
0.493023254;0;100;0.5;5;0.5;0.5;5;;;5
0.493023254;0;100;0.5;5;0.5;5;0.5;;;5
0.516279069;0;100;0.5;5;0.5;5;5;;;5
0.441860465;0;100;0.5;5;5;0.5;0.5;;;5
0.506976744;0;100;0.5;5;5;0.5;5;;;5
0.520930232;0;100;0.5;5;5;5;0.5;;;5
0.530232557;0;100;0.5;5;5;5;5;;;5
0.479069768;0;100;5;0.5;0.5;0.5;0.5;;;5
0.520930232;0;100;5;0.5;0.5;0.5;5;;;5
0.525581394;0;100;5;0.5;0.5;5;0.5;;;5
0.474418603;0;100;5;0.5;0.5;5;5;;;5
0.446511629;0;100;5;0.5;5;0.5;0.5;;;5
0.497674417;0;100;5;0.5;5;0.5;5;;;5
0.520930232;0;100;5;0.5;5;5;0.5;;;5
0.502325581;0;100;5;0.5;5;5;5;;;5
0.539534882;0;100;5;5;0.5;0.5;0.5;;;5
0.530232559;0;100;5;5;0.5;0.5;5;;;5
0.483720931;0;100;5;5;0.5;5;0.5;;;5
0.506976743;0;100;5;5;0.5;5;5;;;5
0.479069766;0;100;5;5;5;0.5;0.5;;;5
0.497674418;0;100;5;5;5;0.5;5;;;5
0.520930232;0;100;5;5;5;5;0.5;;;5
0.562790697;0;100;5;5;5;5;5;;;5
0.46976744;0.5;100;0.5;0.5;0.5;0.5;0.5;;;5
0.479069766;0.5;100;0.5;0.5;0.5;0.5;5;;;5
0.50232558;0.5;100;0.5;0.5;0.5;5;0.5;;;5
0.437209301;0.5;100;0.5;0.5;0.5;5;5;;;5
0.493023254;0.5;100;0.5;0.5;5;0.5;0.5;;;5
0.511627908;0.5;100;0.5;0.5;5;0.5;5;;;5
0.530232558;0.5;100;0.5;0.5;5;5;0.5;;;5
0.493023254;0.5;100;0.5;0.5;5;5;5;;;5
0.525581396;0.5;100;0.5;5;0.5;0.5;0.5;;;5
0.530232557;0.5;100;0.5;5;0.5;0.5;5;;;5
0.497674417;0.5;100;0.5;5;0.5;5;0.5;;;5
0.506976745;0.5;100;0.5;5;0.5;5;5;;;5
0.493023255;0.5;100;0.5;5;5;0.5;0.5;;;5
0.525581396;0.5;100;0.5;5;5;0.5;5;;;5
0.460465115;0.5;100;0.5;5;5;5;0.5;;;5
0.520930231;0.5;100;0.5;5;5;5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;0.5;0.5;;;5
0.520930232;0.5;100;5;0.5;0.5;0.5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;5;0.5;;;5
0.506976744;0.5;100;5;0.5;0.5;5;5;;;5
0.516279068;0.5;100;5;0.5;5;0.5;0.5;;;5
0.51627907;0.5;100;5;0.5;5;0.5;5;;;5
0.46976744;0.5;100;5;0.5;5;5;0.5;;;5
0.46976744;0.5;100;0.5;0.5;;;;;;2
0.474418605;0.5;100;0.5;5;;;;;;2
0.460465115;0.5;100;5;0.5;;;;;;2
0.493023255;0.5;100;5;5;;;;;;2
0.493023255;0.5;100;0.5;0.5;0.5;0.5;0.5;;;5
0.506976745;0.5;100;0.5;0.5;0.5;0.5;5;;;5
0.511627906;0.5;100;0.5;0.5;0.5;5;0.5;;;5
0.511627906;0.5;100;0.5;0.5;0.5;5;5;;;5
0.502325582;0.5;100;0.5;0.5;5;0.5;0.5;;;5
0.50232558;0.5;100;0.5;0.5;5;0.5;5;;;5
0.525581396;0.5;100;0.5;0.5;5;5;0.5;;;5
0.474418603;0.5;100;0.5;0.5;5;5;5;;;5
0.50232558;0.5;100;0.5;5;0.5;0.5;0.5;;;5
0.493023254;0.5;100;0.5;5;0.5;0.5;5;;;5
0.404651163;0.5;100;0.5;5;0.5;5;0.5;;;5
0.497674417;0.5;100;0.5;5;0.5;5;5;;;5
0.530232557;0.5;100;0.5;5;5;0.5;0.5;;;5
0.520930231;0.5;100;0.5;5;5;0.5;5;;;5
0.530232558;0.5;100;0.5;5;5;5;0.5;;;5
0.455813952;0.5;100;0.5;5;5;5;5;;;5
0.502325581;0.5;100;5;0.5;0.5;0.5;0.5;;;5
0.534883721;0.5;100;5;0.5;0.5;0.5;5;;;5
0.553488372;0.5;100;5;0.5;0.5;5;0.5;;;5
0.520930231;0.5;100;5;0.5;0.5;5;5;;;5
0.441860466;0.5;100;5;0.5;5;0.5;0.5;;;5
0.465116279;0.5;100;5;0.5;5;0.5;5;;;5
0.497674417;0.5;100;5;0.5;5;5;0.5;;;5
0.479069766;0.5;100;5;0.5;5;5;5;;;5
0.506976743;0.5;100;5;5;0.5;0.5;0.5;;;5
0.497674418;0.5;100;5;5;0.5;0.5;5;;;5
0.525581394;0.5;100;5;5;0.5;5;0.5;;;5
0.497674419;0.5;100;5;5;0.5;5;5;;;5
0.474418603;0.5;100;5;5;5;0.5;0.5;;;5
0.474418604;0.5;100;5;5;5;0.5;5;;;5
0.530232557;0.5;100;5;5;5;5;0.5;;;5
0.548837207;0.5;100;5;5;5;5;5;;;5
0.511627908;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;0.5;7
0.469767441;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;5;7
0.502325581;0.5;100;0.5;0.5;0.5;0.5;0.5;5;0.5;7
0.497674417;0.5;100;0.5;0.5;0.5;0.5;0.5;5;5;7
0.548837209;0.5;100;0.5;0.5;0.5;0.5;5;0.5;0.5;7
0.493023254;0.5;100;0.5;0.5;0.5;0.5;5;0.5;5;7
0.525581396;0.5;100;0.5;0.5;0.5;0.5;5;5;0.5;7
0.502325581;0.5;100;0.5;0.5;0.5;0.5;5;5;5;7
0.493023255;0.5;100;0.5;0.5;0.5;5;0.5;0.5;0.5;7
0.506976744;0.5;100;0.5;0.5;0.5;5;0.5;0.5;5;7
0.502325581;0.5;100;0.5;0.5;0.5;5;0.5;5;0.5;7
0.474418605;0.5;100;0.5;0.5;0.5;5;0.5;5;5;7
0.516279069;0.5;100;0.5;0.5;0.5;5;5;0.5;0.5;7
0.46976744;0.5;100;0.5;0.5;0.5;5;5;0.5;5;7
0.53488372;0.5;100;0.5;0.5;0.5;5;5;5;0.5;7
0.506976743;0.5;100;0.5;0.5;0.5;5;5;5;5;7
0.488372092;0.5;100;0.5;0.5;5;0.5;0.5;0.5;0.5;7
0.525581395;0.5;100;0.5;0.5;5;0.5;0.5;0.5;5;7
0.483720931;0.5;100;0.5;0.5;5;0.5;0.5;5;0.5;7
0.51627907;0.5;100;0.5;0.5;5;0.5;0.5;5;5;7
0.511627906;0.5;100;0.5;0.5;5;0.5;5;0.5;0.5;7
0.516279068;0.5;100;0.5;0.5;5;0.5;5;0.5;5;7
0.46976744;0.5;100;0.5;0.5;5;0.5;5;5;0.5;7
0.455813953;0.5;100;0.5;0.5;5;0.5;5;5;5;7
0.437209303;0.5;100;0.5;0.5;5;5;0.5;0.5;0.5;7
0.525581396;0.5;100;0.5;0.5;5;5;0.5;0.5;5;7
0.50232558;0.5;100;0.5;0.5;5;5;0.5;5;0.5;7
0.474418605;0.5;100;0.5;0.5;5;5;0.5;5;5;7
0.488372093;0.5;100;0.5;0.5;5;5;5;0.5;0.5;7
0.516279069;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;0.5;7
0.525581396;0.5;100;0.5;0.5;0.5;0.5;0.5;0.5;5;7
0.530232557;0.5;100;0.5;0.5;0.5;0.5;0.5;5;0.5;7
0.479069766;0.5;100;0.5;0.5;0.5;0.5;0.5;5;5;7
0.493023254;0.5;100;0.5;0.5;0.5;0.5;5;0.5;0.5;7
0.46976744;0.5;100;0.5;0.5;0.5;0.5;5;0.5;5;7
0.469767441;0.5;100;0.5;0.5;0.5;0.5;5;5;0.5;7
0.493023254;0.5;100;0.5;0.5;0.5;0.5;5;5;5;7
0.511627905;0.5;100;0.5;0.5;0.5;5;0.5;0.5;0.5;7
0.469767441;0.5;100;0.5;0.5;0.5;5;0.5;0.5;5;7
0.506976743;0.5;100;0.5;0.5;0.5;5;0.5;5;0.5;7
0.502325582;0.5;100;0.5;0.5;0.5;5;0.5;5;5;7
0.460465116;0.5;100;0.5;0.5;0.5;5;5;0.5;0.5;7
0.516279072;0.5;100;0.5;0.5;0.5;5;5;0.5;5;7
0.502325582;0.5;100;0.5;0.5;0.5;5;5;5;0.5;7
0.497674419;0.5;100;0.5;0.5;0.5;5;5;5;5;7
0.511627908;0.5;100;0.5;0.5;5;0.5;0.5;0.5;0.5;7
0.474418605;0.5;100;0.5;0.5;5;0.5;0.5;0.5;5;7
0.479069768;0.5;100;0.5;0.5;5;0.5;0.5;5;0.5;7
0.479069768;0.5;100;0.5;0.5;5;0.5;0.5;5;5;7
0.474418605;0.5;100;0.5;0.5;5;0.5;5;0.5;0.5;7
0.506976744;0.5;100;0.5;0.5;5;0.5;5;0.5;5;7
0.497674419;0.5;100;0.5;0.5;5;0.5;5;5;0.5;7
0.469767443;0.5;100;0.5;0.5;5;0.5;5;5;5;7
0.497674419;0.5;100;0.5;0.5;5;5;0.5;0.5;0.5;7
0.539534881;0.5;100;0.5;0.5;5;5;0.5;0.5;5;7
0.539534886;0.5;100;0.5;0.5;5;5;0.5;5;0.5;7
0.506976745;0.5;100;0.5;0.5;5;5;0.5;5;5;7
0.493023254;0.5;100;0.5;0.5;5;5;5;0.5;0.5;7
0.520930232;0.5;100;0.5;0.5;5;5;5;0.5;5;7
0.52093023;0.5;100;0.5;0.5;5;5;5;5;0.5;7
0.506976744;0.5;100;0.5;0.5;5;5;5;5;5;7
0.465116279;0.5;100;0.5;5;0.5;0.5;0.5;0.5;0.5;7
0.493023255;0.5;100;0.5;5;0.5;0.5;0.5;0.5;5;7
0.51627907;0.5;100;0.5;5;0.5;0.5;0.5;5;0.5;7
0.525581395;0.5;100;0.5;5;0.5;0.5;0.5;5;5;7
0.488372094;0.5;100;0.5;5;0.5;0.5;5;0.5;0.5;7
0.51627907;0.5;100;0.5;5;0.5;0.5;5;0.5;5;7
0.511627908;0.5;100;0.5;5;0.5;0.5;5;5;0.5;7
0.493023254;0.5;100;0.5;5;0.5;0.5;5;5;5;7
0.493023255;0.5;100;0.5;5;0.5;5;0.5;0.5;0.5;7
0.502325581;0.5;100;0.5;5;0.5;5;0.5;0.5;5;7
0.50232558;0.5;100;0.5;5;0.5;5;0.5;5;0.5;7
0.493023255;0.5;100;0.5;5;0.5;5;0.5;5;5;7
0.497674419;0.5;100;0.5;5;0.5;5;5;0.5;0.5;7
0.469767443;0.5;100;0.5;5;0.5;5;5;0.5;5;7
0.469767441;0.5;100;0.5;5;0.5;5;5;5;0.5;7
0.479069768;0.5;100;0.5;5;0.5;5;5;5;5;7
0.55348837;0.5;100;0.5;5;5;0.5;0.5;0.5;0.5;7
0.511627906;0.5;100;0.5;5;5;0.5;0.5;0.5;5;7
0.511627908;0.5;100;0.5;5;5;0.5;0.5;5;0.5;7
0.51627907;0.5;100;0.5;5;5;0.5;0.5;5;5;7
0.483720929;0.5;100;0.5;5;5;0.5;5;0.5;0.5;7
0.506976745;0.5;100;0.5;5;5;0.5;5;0.5;5;7
0.479069766;0.5;100;0.5;5;5;0.5;5;5;0.5;7
0.474418605;0.5;100;0.5;5;5;0.5;5;5;5;7
0.506976745;0.5;100;0.5;5;5;5;0.5;0.5;0.5;7
0.502325581;0.5;100;0.5;5;5;5;0.5;0.5;5;7
0.479069768;0.5;100;0.5;5;5;5;0.5;5;0.5;7
0.46511628;0.5;100;0.5;5;5;5;0.5;5;5;7
0.502325581;0.5;100;0.5;5;5;5;5;0.5;0.5;7
0.474418605;0.5;100;0.5;5;5;5;5;0.5;5;7
0.465116278;0;50;0.5;0.5;0.5;0.5;0.5;;;5
0.488372093;0;50;0.5;0.5;0.5;0.5;5;;;5
0.488372094;0;50;0.5;0.5;0.5;5;0.5;;;5
0.48372093;0;50;0.5;0.5;0.5;5;5;;;5
0.525581395;0;50;0.5;0.5;5;0.5;0.5;;;5
0.511627906;0;50;0.5;0.5;5;0.5;5;;;5
0.497674418;0;50;0.5;0.5;5;5;0.5;;;5
0.534883721;0;50;0.5;0.5;5;5;5;;;5
0.562790697;0;50;0.5;5;0.5;0.5;0.5;;;5
0.460465115;0;50;0.5;5;0.5;0.5;5;;;5
0.516279068;0;50;0.5;5;0.5;5;0.5;;;5
0.502325581;0;50;0.5;5;0.5;5;5;;;5
0.530232559;0;50;0.5;5;5;0.5;0.5;;;5
0.520930232;0;50;0.5;5;5;0.5;5;;;5
0.520930231;0;50;0.5;5;5;5;0.5;;;5
0.48372093;0;50;0.5;5;5;5;5;;;5
0.50232558;0;50;5;0.5;0.5;0.5;0.5;;;5
0.544186047;0;50;5;0.5;0.5;0.5;5;;;5
0.52093023;0;50;5;0.5;0.5;5;0.5;;;5
0.511627906;0;50;5;0.5;0.5;5;5;;;5
0.520930231;0;50;5;0.5;5;0.5;0.5;;;5
0.497674417;0;50;5;0.5;5;0.5;5;;;5
0.446511627;0;50;5;0.5;5;5;0.5;;;5
